LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError,,,,,
107.8194403,48.80159895,154.4108155,0.958547119,30.95499992,110.0442972,25.90147071,110.5016143,,,,,
107.8480103,48.80159895,155.4689696,0.958547119,25.28999996,110.0442972,26.19961127,110.5016143,,,,,
107.8765803,48.80159895,154.8512127,0.958547119,24.03499985,110.0442972,26.81707876,110.5016143,,LinRegError,ARIMAError,kNNError,MLPError
107.9051503,48.80159895,154.6483154,0.958547119,31.3550005,110.0442972,28.04535847,110.5016143,,48.80159895,0.958547119,110.0442972,110.5016143
107.9337203,48.80159895,155.7637384,0.958547119,29.47000027,110.0442972,30.30543844,110.5016143,,,,,
108.0194303,48.80159895,157.2715771,0.958547119,48.29500008,110.0442972,43.82377291,110.5016143,,,,,
108.0480003,48.80159895,157.4179847,0.958547119,43.18000031,110.0442972,48.87445978,110.5016143,,,,,
108.1051403,48.80159895,157.553042,0.958547119,63.69999886,110.0442972,64.36669394,110.5016143,,,,,
108.1337103,48.80159895,158.7074067,0.958547119,81.28499985,110.0442972,79.50202051,110.5016143,,,,,
108.2194202,48.80159895,158.9784539,0.958547119,153.8850021,110.0442972,143.9085303,110.5016143,,,,,
