LinReg,LinRegError,ARIMA,ARIMAError,kNN,kNNError,MLP,MLPError,,,,,,
132.8718352,23.58868646,154.4256845,0.944138709,46.75999832,87.21067437,43.34605407,87.7802808,,,,,,
132.9298154,23.58868646,155.4948384,0.944138709,47.36999893,87.21067437,45.25027162,87.7802808,,,,,,
132.9877957,23.58868646,154.9122875,0.944138709,44.25,87.21067437,47.51737981,87.7802808,,,,,,
133.0457759,23.58868646,154.727482,0.944138709,51.79000092,87.21067437,50.32030433,87.7802808,,,,,,
133.1037562,23.58868646,155.8072921,0.944138709,52.84999847,87.21067437,53.89615365,87.7802808,,,LinRegError,ARIMAError,kNNError,MLPError
133.2776969,23.58868646,157.2861694,0.944138709,71.20999908,87.21067437,71.76698257,87.7802808,,,23.58868646,0.944138709,87.21067437,87.7802808
133.3356771,23.58868646,157.4573587,0.944138709,83.88999939,87.21067437,80.28850017,87.7802808,,,,,,
133.4516376,23.58868646,157.6181274,0.944138709,104.9100037,87.21067437,99.76327032,87.7802808,,,,,,
133.5096179,23.58868646,158.7518909,0.944138709,103.1100006,87.21067437,110.4968477,87.7802808,,,,,,
133.6835586,23.58868646,159.0209138,0.944138709,154.5299988,87.21067437,145.1244681,87.7802808,,,,,,
